Client,AP,Band,Date time,staName,alias,txBitrate,rxBitrate,ulthroughput,dlthroughput,channelFreq,txPower,txPer,txPfr,txPrr,signalStrength,time_axis,bssid,ssid,session
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,2.4,25-3-19 20:26,,,178,47,0,0,2462,20,0,0,0,-33,1.55356E+12,04:bf:6d:5e:11:78,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,2.4,25-3-19 20:29,,,190,65,47216,405064,2462,20,0,0,0,-33,1.55356E+12,04:bf:6d:5e:11:78,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:27,,,387,407,362184,469304,5805,22,0,0,0,-52,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:28,,,450,450,57096,14128,5805,22,0,0,0,-52,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:29,,,450,384,40936,6192,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:30,,,450,344,26168,4520,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:31,,,407,364,25288,3456,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:32,,,344,364,29696,6904,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:33,,,407,364,20720,1112,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:34,,,450,297,24688,2304,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:35,,,407,344,29512,4008,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:36,,,407,344,18512,2368,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:37,,,450,324,40760,10696,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:38,,,407,387,23784,2424,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:39,,,364,364,30032,4256,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:40,,,312,450,30240,4216,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:41,,,407,364,21576,3472,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:42,,,427,303,21968,4800,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:43,,,450,384,34152,7240,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:44,,,450,384,28408,3296,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:45,,,450,384,29368,4872,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:46,,,344,364,29872,2280,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:47,,,450,384,26096,8104,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:48,,,427,303,21760,2824,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:49,,,407,324,29360,3944,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:50,,,450,243,22976,4680,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:51,,,407,300,19168,2616,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:52,,,364,300,48208,14976,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:53,,,450,300,20544,2704,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:54,,,450,300,22624,2616,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:55,,,450,300,20376,1784,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:56,,,450,300,18816,1968,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:57,,,450,332,22112,6960,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:58,,,407,243,17440,2736,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 18:59,,,450,324,30224,3728,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:00,,,450,243,390640,1556224,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:01,,,450,324,19856,3512,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:02,,,450,324,27304,8168,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:03,,,407,324,17912,1752,5805,22,0,0,0,-55,1.55355E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:04,,,407,324,33336,7400,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:05,,,407,283,18184,2720,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:06,,,450,384,16968,2416,5805,22,0,0,0,-54,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:07,,,450,364,28288,8104,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:08,,,407,364,29704,3704,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:09,,,450,285,41992,7592,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:10,,,364,300,19376,3056,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:11,,,450,300,23136,3712,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:12,,,450,300,19696,2432,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:13,,,407,300,20720,2216,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:14,,,450,300,25736,2768,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:15,,,450,300,26432,3952,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:16,,,407,300,29536,3208,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:17,,,387,344,25920,8544,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:18,,,450,303,28792,3696,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:19,,,450,407,55152,8776,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:20,,,450,344,34088,4632,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:21,,,450,324,34656,5856,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:22,,,450,364,68880,24608,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:23,,,450,283,30208,4088,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:24,,,407,427,29384,2920,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:25,,,450,407,22488,3272,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:26,,,450,324,29000,3520,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:27,,,407,303,39048,12008,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:28,,,407,317,21760,3712,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:29,,,364,324,32816,5200,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:30,,,450,344,19008,1944,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:31,,,450,427,22272,3128,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:32,,,450,387,32488,8408,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:33,,,450,450,21064,2416,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:34,,,450,450,28152,4904,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:35,,,450,450,21080,4144,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:36,,,387,450,15192,1536,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:37,,,407,450,26344,6768,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:38,,,450,450,20896,1200,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:39,,,450,387,26768,2152,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:40,,,450,450,22136,2616,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:41,,,407,407,20720,3544,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:42,,,450,450,15032,2080,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:43,,,407,427,22968,1752,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:44,,,407,450,40592,8464,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:45,,,450,450,15288,1152,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:46,,,450,450,32336,4928,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:47,,,450,407,27304,7776,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:48,,,450,450,23488,2320,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:49,,,407,450,28328,4728,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:50,,,450,450,27992,4352,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:51,,,450,450,20376,2192,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:52,,,407,450,40264,11720,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:53,,,303,450,18240,744,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:54,,,450,450,40600,10432,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:55,,,332,450,25488,3360,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:56,,,450,450,17912,2616,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:57,,,407,450,25056,7752,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:58,,,450,450,18304,2760,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 19:59,,,407,450,27352,4056,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 20:00,,,450,450,22880,4008,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 20:01,,,407,450,22800,2256,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5,25-3-19 20:02,,,407,450,29544,6920,5805,22,0,0,0,-55,1.55356E+12,04:bf:6d:5e:11:79,Synchro_SON,
