Client,AP,Band,Date time,staName,alias,txBitrate,rxBitrate,ulthroughput,dlthroughput,channelFreq,txPower,txPer,txPfr,txPrr,signalStrength,time_axis,bssid,ssid
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:07:31,,,52,12,0,0,2437,20,0,0,0,-66.0,1551971251310,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:10:01,,,97,7,56,0,2437,20,0,0,0,-60.0,1551971401292,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:18:01,,,128,5,0,0,2412,20,0,0,0,-63.0,1551971881298,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:19:31,,,125,8,840,552,2412,20,0,0,0,-61.0,1551971971292,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:20:31,,,123,50,544,984,2412,20,0,0,0,-60.0,1551972031277,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:21:31,,,118,43,216,56,2412,20,0,0,0,-59.0,1551972091300,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:22:31,,,105,8,144,16,2412,20,0,0,0,-58.0,1551972151255,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:23:31,,,91,44,272,232,2412,20,0,0,0,-59.0,1551972211297,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:24:31,,,79,12,112,8,2412,20,0,0,0,-59.0,1551972271245,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:25:31,,,77,43,872,296,2412,20,0,0,0,-59.0,1551972331305,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:26:31,,,105,86,440,232,2412,20,0,0,0,-59.0,1551972391254,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:27:31,,,112,52,264,24,2412,20,0,0,0,-60.0,1551972451303,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:28:31,,,113,27,192,56,2412,20,0,0,0,-59.0,1551972511257,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:29:31,,,117,52,184,8,2412,20,0,0,0,-60.0,1551972571303,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:30:31,,,114,35,304,384,2412,20,0,0,0,-59.0,1551972631272,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:31:31,,,109,69,104,8,2412,20,0,0,0,-60.0,1551972691290,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:32:31,,,111,34,240,56,2412,20,0,0,0,-60.0,1551972751254,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:33:31,,,116,80,68160,3784,2412,20,0,0,0,-58.0,1551972811306,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:44:31,,,102,26,0,0,2437,20,0,0,0,-64.0,1551973471239,04:bf:6d:5e:11:78,Synchro_SON
38:59:f9:30:60:fc,04:bf:6d:5e:11:7b,2.4,2019-03-07 10:47:01,,,116,68,672,320,2437,20,0,0,0,-62.0,1551973621240,04:bf:6d:5e:11:78,Synchro_SON
