Event Log

MAC Address,Prim. MAC Address,Channel,Type,Module (from),Module (to),Message,Time stamp
b8:ec:a3:2f:bd:48,b8:ec:a3:2f:bd:4b,1 (2412 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:49"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[24:a0:74:0f:36:40], frequencySetBy=10}",2019-03-06 16:47
b8:ec:a3:2f:bd:2c,b8:ec:a3:2f:bd:2f,1 (2412 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:2d"" , ""channel"" : 157 , ""bandwidth"" : 80}], deassociateStaList=[f0:0f:ec:f8:01:ac], frequencySetBy=10}",2019-03-06 16:44
b8:ec:a3:2f:bd:2c,b8:ec:a3:2f:bd:2f,1 (2412 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:2d"" , ""channel"" : 157 , ""bandwidth"" : 80}], deassociateStaList=[f0:0f:ec:f8:01:ac], frequencySetBy=10}",2019-03-06 16:40
04:bf:6d:5e:26:64,04:bf:6d:5e:26:67,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""04:bf:6d:5e:26:65"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[fc:c2:de:94:56:d9], frequencySetBy=10}",2019-03-06 16:30
b8:ec:a3:2f:bd:2c,b8:ec:a3:2f:bd:2f,1 (2412 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:2d"" , ""channel"" : 157 , ""bandwidth"" : 80}], deassociateStaList=[f0:0f:ec:f8:01:ac], frequencySetBy=10}",2019-03-06 16:27
b8:ec:a3:2f:bd:30,b8:ec:a3:2f:bd:33,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:31"" , ""channel"" : 153 , ""bandwidth"" : 80}], deassociateStaList=[48:4b:aa:af:cb:19], frequencySetBy=10}",2019-03-06 16:03
b8:ec:a3:2f:bd:30,b8:ec:a3:2f:bd:33,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:31"" , ""channel"" : 153 , ""bandwidth"" : 80}], deassociateStaList=[48:4b:aa:af:cb:19], frequencySetBy=10}",2019-03-06 15:55
b8:ec:a3:2f:bd:30,b8:ec:a3:2f:bd:33,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:31"" , ""channel"" : 153 , ""bandwidth"" : 80}], deassociateStaList=[48:4b:aa:af:cb:19], frequencySetBy=10}",2019-03-06 15:52
b8:ec:a3:2f:bd:30,b8:ec:a3:2f:bd:33,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:31"" , ""channel"" : 153 , ""bandwidth"" : 80}], deassociateStaList=[48:4b:aa:af:cb:19], frequencySetBy=10}",2019-03-06 15:48
b8:ec:a3:2f:bd:30,b8:ec:a3:2f:bd:33,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:31"" , ""channel"" : 153 , ""bandwidth"" : 80}], deassociateStaList=[48:4b:aa:af:cb:19], frequencySetBy=10}",2019-03-06 15:45
