Epoch(every hour),Managed AP - primary MAC,Band/Frequency,Zone,Pixel,# managed,# >-50 dBm,# >-62 dBm AND <=-50dBm,# >-80 dBm AND <=-62dBm,Average RSSI,Standard Deviation,Min RSSI,Max RSSI,# unmanaged,# >-50 dBm,# >-62 dBm AND <=-50dBm,# >-80 dBm AND <=-62dBm,Average RSSI,Standard Deviation,Min RSSI,Max RSSI
1551848400,b8:ec:a3:2f:bd:63,2.4,Z_347_283_0,17355_14157_0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:63,2412,Z_347_283_0,17355_14157_0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:63,5,Z_347_283_0,17355_14157_0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:63,5745,Z_347_283_0,17355_14157_0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:f7,2.4,Z_347_283_0,17375_14168_0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:f7,2437,Z_347_283_0,17375_14168_0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:f7,5,Z_347_283_0,17375_14168_0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:f7,5240,Z_347_283_0,17375_14168_0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:ff,2.4,Z_347_283_0,17355_14163_0,7,0,0,3,-81.28,5.90,-89.00,-72.00,23,0,3,11,-75.86,9.42,-87.99,-52.00
1551848400,b8:ec:a3:2f:bd:ff,2412,Z_347_283_0,17355_14163_0,3,0,0,1,-84.33,4.64,-89.00,-78.00,14,0,1,6,-78.79,6.82,-87.99,-61.08
1551848400,b8:ec:a3:2f:bd:ff,5,Z_347_283_0,17355_14163_0,5,0,0,2,-81.79,4.17,-85.99,-74.99,29,0,5,10,-76.65,9.59,-87.00,-51.99
1551848400,b8:ec:a3:2f:bd:ff,5785,Z_347_283_0,17355_14163_0,1,0,0,0,-84.00,0.00,-84.00,-84.00,2,0,0,0,-82.00,0.99,-82.99,-81.00
1551848400,b8:ec:a3:2f:bd:4b,2.4,Z_347_283_1,17377_14177_1,7,0,1,6,-70.92,8.08,-79.00,-53.99,28,0,1,17,-77.80,5.34,-88.00,-57.99
