dateTime,baseConfig,enabled,id,name,rrmConfig
2019-03-06 19:45:02,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 19:45:02,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 19:45:02,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 19:45:02,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 20:45:02,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 20:45:02,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 20:45:02,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 20:45:02,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 21:45:02,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 21:45:02,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 21:45:02,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 21:45:02,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 22:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 22:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 22:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 22:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 23:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 23:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 23:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 23:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
