dateTime,baseConfig,enabled,id,name,rrmConfig
2019-03-06 00:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 00:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 00:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 00:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 01:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 01:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 01:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 01:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 02:45:02,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 02:45:02,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 02:45:02,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 02:45:02,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 03:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 03:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 03:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 03:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 04:45:02,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 04:45:02,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 04:45:02,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 04:45:02,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 05:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 05:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 05:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 05:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 06:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 06:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 06:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 06:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 07:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 07:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 07:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 07:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 08:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 08:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 08:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 08:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 09:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 09:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 09:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 09:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 10:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 10:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 10:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 10:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 11:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
